% List of elements
%
%   User  :  EFONN
%   Date  :  14-Aug-2007 11:22:40
%
%   The first column contains the global index of each element.
%

1      5      1      43   
2      6      5      100  
3      7      6      147  
4      8      7      128  
5      9      8      134  
6      10     9      139  
7      11     10     108  
8      12     11     63   
9      14     2      45   
10     13     12     52   
11     2      13     45   
12     45     13     113  
13     15     14     153  
14     16     15     111  
15     17     16     74   
16     19     18     106  
17     20     19     93   
18     21     20     79   
19     23     3      44   
20     22     21     51   
21     3      22     44   
22     44     22     114  
23     24     23     152  
24     25     24     110  
25     26     25     73   
26     28     27     107  
27     29     28     92   
28     30     29     80   
29     32     4      42   
30     31     30     50   
31     4      31     42   
32     42     31     115  
33     33     32     151  
34     34     33     137  
35     35     34     150  
36     51     21     79   
37     37     36     146  
38     38     37     138  
39     108    10     139  
40     39     38     99   
41     36     35     103  
42     99     38     138  
43     90     7      147  
44     1      40     43   
45     27     26     118  
46     92     28     107  
47     18     17     117  
48     93     19     106  
49     40     39     78   
50     43     40     78   
51     50     30     80   
52     96     41     144  
53     52     12     63   
54     119    41     132  
55     132    41     158  
56     102    46     123  
57     91     37     146  
58     75     47     124  
59     73     25     110  
60     121    48     171  
61     74     16     111  
62     63     11     108  
63     87     9      134  
64     89     49     120  
65     95     47     165  
66     79     20     93   
67     80     29     92   
68     88     48     121  
69     143    84     165  
70     101    60     109  
71     112    71     171  
72     122    49     127  
73     98     58     124  
74     97     57     125  
75     5      43     100  
76     123    46     161  
77     81     33     151  
78     81     50     98   
79     83     24     152  
80     83     51     97   
81     120    49     160  
82     82     15     153  
83     116    53     157  
84     142    53     166  
85     125    48     156  
86     121    55     135  
87     74     62     127  
88     120    54     136  
89     145    53     169  
90     94     46     159  
91     131    69     166  
92     91     56     133  
93     95     56     167  
94     90     59     123  
95     136    54     172  
96     128    66     176  
97     94     56     162  
98     101    34     137  
99     73     61     156  
100    129    84     132  
101    14     45     113  
102    116    85     166  
103    83     61     110  
104    119    55     164  
105    82     62     111  
106    168    54     177  
107    109    60     124  
108    75     58     105  
109    76     57     104  
110    112    54     168  
111    52     63     77   
112    77     63     126  
113    78     39     99   
114    102    59     154  
115    104    57     148  
116    79     57     97   
117    105    58     149  
118    80     58     98   
119    32     42     115  
120    95     70     109  
121    77     62     82   
122    52     77     82   
123    23     44     114  
124    88     73     156  
125    135    55     173  
126    143    75     163  
127    94     67     130  
128    96     69     131  
129    89     74     127  
130    108    72     126  
131    90     66     128  
132    126    72     170  
133    105    64     135  
134    107    27     118  
135    104    65     136  
136    106    18     117  
137    78     59     100  
138    116    66     161  
139    102    68     159  
140    103    35     150  
141    88     64     118  
142    58     80     92   
143    89     65     117  
144    57     79     93   
145    130    67     158  
146    66     90     123  
147    103    70     167  
148    47     75     143  
149    122    86     141  
150    119    71     144  
151    51     79     97   
152    61     83     97   
153    50     80     98   
154    60     81     98   
155    91     68     138  
156    59     78     99   
157    43     78     100  
158    100    59     147  
159    47     95     109  
160    81     60     137  
161    68     91     133  
162    99     68     154  
163    56     91     140  
164    101    70     150  
165    112    76     172  
166    106    65     148  
167    163    75     173  
168    107    64     149  
169    17     74     117  
170    57     93     148  
171    26     73     118  
172    58     92     149  
173    122    77     126  
174    142    86     169  
175    58     75     124  
176    70     101    109  
177    61     73     110  
178    24     83     110  
179    62     74     111  
180    15     82     111  
181    125    76     155  
182    144    71     168  
183    13     52     113  
184    52     82     113  
185    22     51     114  
186    51     83     114  
187    31     50     115  
188    50     81     115  
189    131    85     158  
190    145    87     157  
191    74     89     117  
192    65     106    117  
193    73     88     118  
194    64     107    118  
195    155    112    171  
196    84     119    132  
197    136    65     174  
198    141    69     160  
199    76     112    155  
200    135    64     175  
201    62     77     122  
202    169    86     170  
203    59     102    123  
204    130    116    161  
205    60     98     124  
206    47     109    124  
207    57     76     125  
208    61     97     125  
209    63     108    126  
210    86     122    170  
211    49     89     127  
212    62     122    127  
213    157    87     176  
214    7      90     128  
215    129    67     162  
216    67     94     162  
217    46     94     130  
218    85     116    130  
219    53     116    166  
220    41     96     131  
221    67     129    132  
222    85     130    158  
223    56     94     133  
224    133    94     159  
225    66     116    157  
226    8      128    134  
227    75     105    173  
228    64     88     175  
229    76     104    172  
230    65     89     174  
231    33     81     137  
232    60     101    137  
233    37     91     138  
234    68     99     138  
235    9      87     139  
236    72     108    139  
237    70     95     167  
238    140    91     146  
239    69     96     160  
240    49     122    141  
241    141    86     142  
242    69     141    142  
243    119    84     163  
244    129    95     165  
245    160    96     177  
246    41     119    144  
247    139    87     145  
248    72     139    145  
249    36     103    146  
250    103    140    146  
251    59     90     147  
252    6      100    147  
253    65     104    148  
254    93     106    148  
255    64     105    149  
256    92     107    149  
257    34     101    150  
258    70     103    150  
259    115    81     151  
260    32     115    151  
261    114    83     152  
262    23     114    152  
263    113    82     153  
264    14     113    153  
265    59     99     154  
266    68     102    154  
267    164    121    171  
268    48     125    155  
269    48     88     156  
270    61     125    156  
271    134    128    176  
272    53     145    157  
273    41     131    158  
274    67     132    158  
275    46     102    159  
276    68     133    159  
277    54     120    177  
278    49     141    160  
279    66     123    161  
280    46     130    161  
281    56     95     162  
282    95     129    162  
283    55     119    163  
284    84     143    163  
285    71     119    164  
286    55     121    164  
287    84     129    165  
288    47     143    165  
289    85     131    166  
290    69     142    166  
291    140    103    167  
292    56     140    167  
293    71     112    168  
294    96     144    168  
295    53     142    169  
296    72     145    169  
297    122    126    170  
298    72     169    170  
299    48     155    171  
300    71     164    171  
301    54     112    172  
302    104    136    172  
303    105    135    173  
304    55     163    173  
305    89     120    174  
306    120    136    174  
307    88     121    175  
308    121    135    175  
309    87     134    176  
310    66     157    176  
311    120    160    177  
312    96     168    177  
