% List of elements
%
%   User  :  ANNEGRET
%   Date  :  05-Sep-2008 15:36:45
%
%   The first column contains the global index of each element.
%

1      36     29     35   
2      35     29     34   
3      34     29     28   
4      25     24     28   
5      28     29     25   
6      17     9      1    
7      17     24     25   
8      40     35     34   
9      40     45     41   
10     41     35     40   
11     36     35     42   
12     42     35     41   
13     58     52     51   
14     39     33     38   
15     30     29     36   
16     25     29     30   
17     31     37     38   
18     43     37     7    
19     7      57     43   
20     43     57     44   
21     44     39     43   
22     38     37     43   
23     43     39     38   
24     16     17     1    
25     24     17     16   
26     6      42     41   
27     6      51     47   
28     59     60     54   
29     53     52     59   
30     53     48     47   
31     47     51     53   
32     53     51     52   
33     59     54     53   
34     53     54     48   
35     45     50     46   
36     41     45     46   
37     46     6      41   
38     51     6      46   
39     58     51     46   
40     2      58     46   
41     46     50     2    
42     44     57     49   
43     3      49     61   
44     61     49     57   
45     11     10     19   
46     19     26     20   
47     18     10     9    
48     9      17     18   
49     26     19     18   
50     18     19     10   
51     15     13     14   
52     14     22     15   
53     48     54     55   
54     60     61     56   
55     56     61     57   
56     56     57     7    
57     56     54     60   
58     7      55     56   
59     56     55     54   
60     5      17     25   
61     5      18     17   
62     26     18     5    
63     25     30     5    
64     8      22     14   
65     14     21     8    
66     12     13     11   
67     20     21     12   
68     14     13     12   
69     12     21     14   
70     11     19     12   
71     12     19     20   
72     22     27     23   
73     4      15     23   
74     23     15     22   
75     33     27     32   
76     38     33     32   
77     32     31     38   
78     32     8      31   
79     32     27     22   
80     22     8      32   
