% List of elements
%
%   User  :  HHEUMANN
%   Date  :  12-Jul-2007 22:33:42
%
%   The first column contains the global index of each element.
%

1      10     18     19   
2      41     49     42   
3      50     49     59   
4      49     50     42   
5      9      18     10   
6      79     75     74   
7      77     71     70   
8      77     69     2    
9      50     51     42   
10     51     43     42   
11     69     60     59   
12     60     50     59   
13     60     77     70   
14     77     60     69   
15     20     21     4    
16     11     20     4    
17     20     11     10   
18     20     10     19   
19     17     9      8    
20     9      17     18   
21     16     17     8    
22     17     16     26   
23     34     25     24   
24     31     39     40   
25     39     29     38   
26     13     12     22   
27     12     5      1    
28     5      12     13   
29     33     32     41   
30     33     41     42   
31     43     33     42   
32     33     43     34   
33     76     80     3    
34     80     76     75   
35     68     76     3    
36     68     58     67   
37     76     68     67   
38     75     66     74   
39     76     66     75   
40     66     76     67   
41     56     66     67   
42     58     57     67   
43     57     56     67   
44     78     62     71   
45     71     62     70   
46     44     51     52   
47     51     44     43   
48     66     65     74   
49     65     66     56   
50     51     61     52   
51     61     51     50   
52     61     62     52   
53     62     61     70   
54     61     60     70   
55     60     61     50   
56     30     31     21   
57     20     30     21   
58     30     20     19   
59     29     30     19   
60     30     39     31   
61     39     30     29   
62     17     28     18   
63     18     28     19   
64     28     29     19   
65     7      16     8    
66     16     15     26   
67     15     7      6    
68     7      15     16   
69     25     15     24   
70     15     25     26   
71     43     35     34   
72     35     25     34   
73     44     35     43   
74     5      14     6    
75     14     5      13   
76     14     15     6    
77     14     13     24   
78     15     14     24   
79     32     23     22   
80     33     23     32   
81     13     23     24   
82     23     13     22   
83     23     34     24   
84     23     33     34   
85     48     57     58   
86     57     46     56   
87     46     38     45   
88     39     47     40   
89     47     48     40   
90     48     47     57   
91     47     39     38   
92     46     47     38   
93     47     46     57   
94     72     78     73   
95     72     62     78   
96     53     44     52   
97     27     17     26   
98     27     28     17   
99     65     55     54   
100    55     46     45   
101    55     65     56   
102    46     55     56   
103    55     53     54   
104    64     72     73   
105    79     64     73   
106    64     79     74   
107    65     64     74   
108    64     65     54   
109    63     53     52   
110    53     63     54   
111    62     63     52   
112    72     63     62   
113    63     64     54   
114    64     63     72   
115    38     37     45   
116    27     37     28   
117    29     37     38   
118    28     37     29   
119    36     27     26   
120    25     36     26   
121    35     36     25   
122    36     37     27   
