% List of elements
%
%   User  :  ARIZUMI
%   Date  :  25-Jul-2007 10:23:20
%
%   The first column contains the global index of each element.
%

1      13     1      129  
2      67     4      155  
3      34     5      156  
4      38     6      160  
5      132    34     156  
6      31     4      122  
7      135    38     160  
8      29     28     159  
9      59     7      170  
10     39     8      96   
11     81     8      169  
12     40     9      138  
13     138    9      173  
14     35     5      125  
15     85     59     170  
16     137    67     155  
17     14     13     114  
18     68     11     172  
19     87     68     172  
20     16     15     146  
21     171    84     172  
22     63     12     154  
23     20     19     162  
24     21     20     111  
25     22     2      128  
26     2      21     128  
27     23     22     118  
28     33     32     96   
29     25     24     144  
30     26     25     106  
31     38     37     83   
32     30     29     117  
33     41     3      127  
34     17     16     105  
35     24     23     165  
36     34     33     81   
37     18     17     107  
38     19     18     147  
39     111    20     162  
40     97     33     132  
41     15     14     167  
42     27     26     108  
43     5      34     125  
44     60     6      124  
45     28     27     141  
46     117    29     159  
47     3      30     127  
48     144    24     165  
49     153    5      179  
50     36     35     113  
51     37     36     139  
52     83     37     139  
53     42     41     110  
54     127    30     176  
55     6      38     124  
56     44     43     143  
57     64     12     123  
58     130    63     154  
59     48     47     161  
60     49     48     112  
61     50     10     126  
62     10     49     126  
63     51     50     116  
64     53     52     140  
65     32     31     166  
66     57     56     163  
67     105    16     146  
68     150    4      183  
69     114    13     174  
70     54     53     109  
71     45     44     104  
72     52     51     164  
73     81     33     96   
74     46     45     103  
75     47     46     142  
76     112    48     161  
77     98     62     130  
78     43     42     168  
79     55     54     102  
80     12     63     123  
81     11     59     171  
82     56     55     145  
83     66     65     85   
84     115    57     163  
85     100    66     137  
86     140    52     164  
87     62     61     87   
88     63     62     120  
89     109    53     140  
90     151    12     180  
91     104    44     143  
92     152    6      185  
93     58     57     115  
94     146    15     167  
95     106    25     144  
96     35     36     134  
97     6      60     148  
98     62     63     130  
99     60     61     131  
100    61     62     98   
101    64     65     133  
102    66     67     137  
103    12     64     158  
104    65     66     100  
105    99     37     135  
106    37     38     135  
107    5      35     157  
108    36     37     99   
109    4      31     149  
110    33     34     132  
111    31     32     136  
112    32     33     97   
113    8      40     86   
114    170    7      178  
115    7      39     178  
116    96     32     166  
117    61     60     101  
118    9      68     173  
119    65     64     119  
120    67     66     121  
121    4      67     122  
122    85     65     119  
123    86     36     113  
124    86     40     138  
125    87     61     101  
126    84     63     120  
127    143    43     168  
128    98     74     131  
129    116    69     181  
130    103    73     142  
131    167    71     183  
132    102    75     145  
133    1      58     129  
134    97     80     136  
135    118    72     182  
136    107    79     147  
137    126    49     177  
138    100    76     133  
139    148    88     185  
140    108    77     141  
141    128    21     175  
142    99     78     134  
143    8      81     96   
144    122    82     166  
145    147    79     156  
146    97     79     107  
147    142    73     154  
148    98     73     103  
149    141    77     160  
150    99     77     108  
151    145    75     155  
152    100    75     102  
153    101    60     124  
154    101    83     173  
155    102    54     109  
156    133    76     186  
157    103    45     104  
158    131    74     148  
159    74     98     104  
160    98     103    104  
161    136    80     149  
162    80     97     105  
163    134    78     187  
164    78     99     106  
165    105    97     107  
166    17     105    107  
167    106    99     108  
168    26     106    108  
169    76     100    109  
170    100    102    109  
171    152    70     159  
172    110    70     184  
173    153    72     162  
174    147    92     162  
175    151    69     161  
176    142    89     161  
177    113    35     125  
178    113    81     169  
179    150    71     163  
180    114    71     167  
181    145    90     163  
182    129    58     174  
183    180    93     181  
184    116    50     177  
185    141    94     159  
186    110    41     176  
187    179    95     182  
188    118    22     175  
189    64     84     119  
190    119    84     171  
191    120    87     172  
192    62     87     120  
193    121    85     170  
194    66     85     121  
195    121    82     122  
196    67     121    122  
197    84     64     123  
198    63     84     123  
199    38     83     124  
200    83     101    124  
201    34     81     125  
202    81     113    125  
203    112    69     177  
204    49     112    177  
205    117    70     176  
206    70     110    176  
207    111    72     175  
208    21     111    175  
209    115    71     174  
210    71     114    174  
211    151    89     154  
212    73     98     130  
213    143    88     148  
214    61     98     131  
215    153    92     156  
216    79     97     132  
217    140    93     186  
218    65     100    133  
219    144    95     187  
220    36     99     134  
221    152    94     160  
222    77     99     135  
223    146    91     149  
224    32     97     136  
225    150    90     155  
226    75     100    137  
227    68     87     173  
228    138    83     139  
229    36     86     139  
230    86     138    139  
231    164    116    181  
232    76     109    140  
233    77     135    160  
234    27     108    141  
235    73     130    154  
236    46     103    142  
237    6      148    185  
238    74     104    143  
239    165    118    182  
240    78     106    144  
241    75     137    155  
242    55     102    145  
243    149    91     183  
244    80     105    146  
245    79     132    156  
246    18     107    147  
247    60     131    148  
248    74     143    148  
249    31     136    149  
250    80     146    149  
251    71     115    163  
252    4      149    183  
253    158    133    186  
254    69     112    161  
255    168    110    184  
256    70     117    159  
257    157    134    187  
258    72     111    162  
259    89     142    154  
260    12     151    154  
261    90     145    155  
262    4      150    155  
263    92     147    156  
264    5      153    156  
265    35     134    157  
266    157    95     179  
267    64     133    158  
268    158    93     180  
269    28     141    159  
270    94     152    159  
271    94     141    160  
272    6      152    160  
273    47     142    161  
274    89     151    161  
275    19     147    162  
276    92     153    162  
277    56     145    163  
278    90     150    163  
279    51     116    164  
280    93     140    164  
281    23     118    165  
282    95     144    165  
283    166    82     178  
284    31     122    166  
285    14     114    167  
286    91     146    167  
287    42     110    168  
288    88     143    168  
289    8      86     169  
290    86     113    169  
291    82     121    170  
292    39     96     178  
293    59     85     171  
294    85     119    171  
295    84     120    172  
296    11     171    172  
297    87     101    173  
298    83     138    173  
299    58     115    174  
300    13     129    174  
301    72     118    175  
302    22     128    175  
303    30     117    176  
304    41     127    176  
305    69     116    177  
306    50     126    177  
307    96     166    178  
308    82     170    178  
309    72     153    179  
310    5      157    179  
311    69     151    180  
312    12     158    180  
313    93     164    181  
314    69     180    181  
315    95     165    182  
316    72     179    182  
317    71     150    183  
318    91     167    183  
319    70     152    184  
320    88     168    184  
321    184    152    185  
322    88     184    185  
323    76     140    186  
324    93     158    186  
325    78     144    187  
326    95     157    187  
