h error rate8.00e-01 
8.40628778e-01 1.54767598e-01 0.00000000e+00 
4.20314389e-01 1.43656677e-01 1.07478416e-01 
2.10157195e-01 1.31605594e-01 1.26404233e-01 
1.05078597e-01 1.09973177e-01 2.59069130e-01 
5.25392986e-02 8.34129146e-02 3.98809011e-01 
2.62696493e-02 5.64347138e-02 5.63687911e-01 
1.31348247e-02 3.43069453e-02 7.18082187e-01 
6.56741233e-03 1.92569973e-02 8.33117906e-01 

