h error rate8.00e-01 
8.40628778e-01 4.49356940e-02 0.00000000e+00 
4.20314389e-01 6.79067412e-03 2.72623518e+00 
2.10157195e-01 2.66627948e-04 4.67065488e+00 
1.05078597e-01 9.32162995e-06 4.83810196e+00 
5.25392986e-02 2.59511599e-07 5.16671132e+00 
2.62696493e-02 8.49140568e-09 4.93365181e+00 
1.31348247e-02 2.59638981e-10 5.03142449e+00 
6.56741233e-03 7.77425545e-12 5.06165868e+00 

