h error rate
8.40628778e-01 1.64915303e-01 0.00000000e+00 
4.20314389e-01 1.64140717e-01 6.79211938e-03 
2.10157195e-01 6.49882414e-02 1.33668254e+00 
1.05078597e-01 9.09438985e-03 2.83712996e+00 
5.25392986e-02 1.48443054e-03 2.61506726e+00 
2.62696493e-02 3.06598722e-04 2.27548600e+00 
1.31348247e-02 6.83860596e-05 2.16457751e+00 
6.56741233e-03 1.66745387e-05 2.03605541e+00 

