h error rate8.00e-01 
8.40628778e-01 1.31626655e-01 0.00000000e+00 
4.20314389e-01 9.73229496e-02 4.35599717e-01 
2.10157195e-01 4.25970443e-02 1.19202672e+00 
1.05078597e-01 1.05731815e-02 2.01034377e+00 
5.25392986e-02 1.94074154e-03 2.44572965e+00 
2.62696493e-02 3.83519545e-04 2.33923600e+00 
1.31348247e-02 8.75046086e-05 2.13186920e+00 
6.56741233e-03 2.15377608e-05 2.02249073e+00 

