h error rate
8.40628778e-01 1.05056402e-01 0.00000000e+00 
4.20314389e-01 5.49166355e-02 9.35848933e-01 
2.10157195e-01 8.75932800e-03 2.64835114e+00 
1.05078597e-01 1.13805044e-03 2.94425569e+00 
5.25392986e-02 1.68991238e-04 2.75154415e+00 
2.62696493e-02 2.56943708e-05 2.71742422e+00 
1.31348247e-02 3.64715961e-06 2.81660708e+00 
6.56741233e-03 5.18146796e-07 2.81534055e+00 

