h error rate
8.40628778e-01 1.30477129e-01 0.00000000e+00 
4.20314389e-01 1.31702929e-01 -1.34904934e-02 
2.10157195e-01 6.06412055e-02 1.11891709e+00 
1.05078597e-01 1.37701322e-02 2.13875602e+00 
5.25392986e-02 1.97178745e-03 2.80396646e+00 
2.62696493e-02 3.70562752e-04 2.41171427e+00 
1.31348247e-02 8.34213608e-05 2.15122912e+00 
6.56741233e-03 2.01304890e-05 2.05103463e+00 

