h error rate
8.40628778e-01 1.65867290e-01 0.00000000e+00 
4.20314389e-01 1.73217373e-01 -6.25542235e-02 
2.10157195e-01 7.55753055e-02 1.19659682e+00 
1.05078597e-01 9.94819796e-03 2.92540778e+00 
5.25392986e-02 1.53953475e-03 2.69194078e+00 
2.62696493e-02 3.23881725e-04 2.24895547e+00 
1.31348247e-02 7.32290068e-05 2.14497993e+00 
6.56741233e-03 1.71335738e-05 2.09558912e+00 

