h error rate8.00e-01 
8.40628778e-01 2.60927268e-02 0.00000000e+00 
4.20314389e-01 2.71394138e-02 -5.67418380e-02 
2.10157195e-01 5.40047518e-05 8.97308749e+00 
1.05078597e-01 7.98608875e-07 6.07945344e+00 
5.25392986e-02 1.75820741e-08 5.50531193e+00 
2.62696493e-02 3.52262457e-10 5.64131074e+00 
1.31348247e-02 9.23664416e-12 5.25313813e+00 
6.56741233e-03 2.75336404e-13 5.06810151e+00 

