h error rate
8.40628778e-01 1.88379353e-01 0.00000000e+00 
4.20314389e-01 5.28757548e-02 1.83296259e+00 
2.10157195e-01 8.84832197e-03 2.57913057e+00 
1.05078597e-01 1.61655290e-03 2.45248317e+00 
5.25392986e-02 2.62803960e-04 2.62086179e+00 
2.62696493e-02 3.63997833e-05 2.85198525e+00 
1.31348247e-02 5.23824945e-06 2.79677319e+00 
6.56741233e-03 6.23816993e-07 3.06989001e+00 

