h error rate
8.40628778e-01 1.68692775e-01 0.00000000e+00 
4.20314389e-01 4.30198216e-02 1.97132474e+00 
2.10157195e-01 7.11163904e-03 2.59674753e+00 
1.05078597e-01 1.19051699e-03 2.57859389e+00 
5.25392986e-02 1.65488947e-04 2.84678144e+00 
2.62696493e-02 2.33364295e-05 2.82607911e+00 
1.31348247e-02 2.85534453e-06 3.03084710e+00 
6.56741233e-03 3.67559358e-07 2.95761567e+00 

