h error rate8.00e-01 
8.40628778e-01 1.00301450e-01 0.00000000e+00 
4.20314389e-01 4.13336335e-02 1.27895437e+00 
2.10157195e-01 5.92098228e-03 2.80340775e+00 
1.05078597e-01 7.77277900e-04 2.92933413e+00 
5.25392986e-02 8.46686626e-05 3.19853049e+00 
2.62696493e-02 9.97531157e-06 3.08539429e+00 
1.31348247e-02 1.24464629e-06 3.00262609e+00 
6.56741233e-03 1.54856378e-07 3.00673311e+00 

