h error rate
8.40628778e-01 1.94135452e-01 0.00000000e+00 
4.20314389e-01 5.79234270e-02 1.74484473e+00 
2.10157195e-01 9.77951250e-03 2.56631251e+00 
1.05078597e-01 1.85387996e-03 2.39921472e+00 
5.25392986e-02 3.19297501e-04 2.53757466e+00 
2.62696493e-02 4.89641327e-05 2.70510403e+00 
1.31348247e-02 6.65994072e-06 2.87814409e+00 
6.56741233e-03 8.97222548e-07 2.89197155e+00 

