h error rate
8.40628778e-01 1.32348616e-01 0.00000000e+00 
4.20314389e-01 2.57895809e-02 2.35948288e+00 
2.10157195e-01 4.11419601e-03 2.64810590e+00 
1.05078597e-01 8.45719411e-04 2.28235953e+00 
5.25392986e-02 1.22447118e-04 2.78802027e+00 
2.62696493e-02 1.66630963e-05 2.87743041e+00 
1.31348247e-02 2.36465550e-06 2.81695458e+00 
6.56741233e-03 3.38238403e-07 2.80551764e+00 

