h error rate
8.40628778e-01 1.72107066e-01 0.00000000e+00 
4.20314389e-01 1.29250426e-01 4.13137300e-01 
2.10157195e-01 7.48313729e-02 7.88453881e-01 
1.05078597e-01 2.11517289e-02 1.82286766e+00 
5.25392986e-02 2.85934269e-03 2.88702015e+00 
2.62696493e-02 3.99806963e-04 2.83830803e+00 
1.31348247e-02 7.08996942e-05 2.49545229e+00 
6.56741233e-03 1.53449607e-05 2.20801446e+00 

